LAST SEEN   TYPE      REASON              OBJECT                                               MESSAGE
83m         Normal    LeaderElection      lease/cert-manager-cainjector-leader-election        cert-manager-certmanager-cainjector-7cdf488b77-kkdnw_c9b1197f-89a5-44db-a3b1-73c210d1ea00 became leader
12m         Normal    LeaderElection      lease/cert-manager-cainjector-leader-election        cert-manager-certmanager-cainjector-7cdf488b77-j6cd7_f6fd6270-a4f7-4846-9358-52b53ff29f7f became leader
83m         Normal    LeaderElection      lease/cert-manager-controller                        cert-manager-certmanager-6bbc5655b6-qbmdb-external-cert-manager-controller became leader
25m         Normal    LeaderElection      lease/cert-manager-controller                        cert-manager-certmanager-6bbc5655b6-qbmdb-external-cert-manager-controller became leader
13m         Normal    LeaderElection      lease/cert-manager-controller                        cert-manager-certmanager-6bbc5655b6-6c56x-external-cert-manager-controller became leader
86m         Warning   FailedScheduling    pod/cilium-envoy-7vlm7                               0/1 nodes are available: 1 node(s) didn't match pod affinity rules. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
86m         Normal    Scheduled           pod/cilium-envoy-7vlm7                               Successfully assigned kube-system/cilium-envoy-7vlm7 to k8s-control-1
86m         Normal    Pulling             pod/cilium-envoy-7vlm7                               Pulling image "quay.io/cilium/cilium-envoy:v1.30.9-1737073743-40a016d11c0d863b772961ed0168eea6fe6b10a5@sha256:a69dfe0e54b24b0ff747385c8feeae0612cfbcae97bfcc8ee42a773bb3f69c88"
85m         Normal    Pulled              pod/cilium-envoy-7vlm7                               Successfully pulled image "quay.io/cilium/cilium-envoy:v1.30.9-1737073743-40a016d11c0d863b772961ed0168eea6fe6b10a5@sha256:a69dfe0e54b24b0ff747385c8feeae0612cfbcae97bfcc8ee42a773bb3f69c88" in 28.937s (28.937s including waiting). Image size: 62866349 bytes.
85m         Normal    Created             pod/cilium-envoy-7vlm7                               Created container: cilium-envoy
85m         Normal    Started             pod/cilium-envoy-7vlm7                               Started container cilium-envoy
84m         Warning   Unhealthy           pod/cilium-envoy-7vlm7                               Startup probe failed: Get "http://127.0.0.1:9878/healthz": dial tcp 127.0.0.1:9878: connect: connection refused
26m         Normal    SandboxChanged      pod/cilium-envoy-7vlm7                               Pod sandbox changed, it will be killed and re-created.
26m         Normal    Pulled              pod/cilium-envoy-7vlm7                               Container image "quay.io/cilium/cilium-envoy:v1.30.9-1737073743-40a016d11c0d863b772961ed0168eea6fe6b10a5@sha256:a69dfe0e54b24b0ff747385c8feeae0612cfbcae97bfcc8ee42a773bb3f69c88" already present on machine
26m         Normal    Created             pod/cilium-envoy-7vlm7                               Created container: cilium-envoy
